Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Avista Corporation - WA State DOE Reporting - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,20992,0,18,15116,0,0,0,5857,0,,1,,
"Coleman Oil Company, LLC",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Coleman Oil Company, LLC",NA,NA,NA,519994,24906,495088,0,0,0,0,0,0,,,,
Northwest Pipeline Willard C/S - Cook,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,20101,0,18154,1937,10,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Elbow River Marketing Canada Ltd.,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,412110,Petroleum and petroleum products merchant wholesalers,Parkland Fuel Corporation,NA,NA,NA,7575,0,7575,0,0,0,0,0,0,,,,
University of Washington Seattle Campus - Seattle,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,82430,0,82345,39,46,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
Alon Asphalt Company - Seattle,2017,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,14818,0,14782,29,8,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Michelsen Packaging - Yakima,2019,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10695,0,10685,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Naval Air Station Whidbey Island - Oak Harbor,2015,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,14018,0,14004,7,8,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,350887,0,350531,163,194,0,0,0,0,,3,"(48.828707, -122.685533)",POINT (-122.68553299999999 48.82870700000001)
Central Washington University - Ellensburg,2017,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,14479,0,14465,7,8,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,29472,0,29441,14,18,0,0,0,0,,2,"(48.885475, -122.724299)",POINT (-122.724299 48.885475)
Phillips 66 Ferndale Refinery - Ferndale,2019,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,835061,0,831138,1821,2103,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Sinclair Oil Corporation,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,57314,0,57314,0,0,0,0,0,0,,,,
Goodrich Corporation - Spokane,2019,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,52018,0,51957,26,35,0,0,0,0,,2,"(47.583604, -117.568511)",POINT (-117.568511 47.583604)
Hampton Lumber Mills Washington Inc. - Morton,2018,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,36719,36233,2,70,415,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
TransAlta Centralia Generation LLC - Centralia,2012,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,4154743,0,4121860,12028,20856,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
Lamb Weston - Connell,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,28419,0,28390,14,16,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
Ascensus Specialties LLC - Elma,2016,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,20802,0,20780,10,12,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
Puget Sound Energy LDC - statewide,2015,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,58610,0,72,58537,0,0,0,0,0,,2,,
Northwest Hardwoods Inc. - Longview,2015,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,16719,11074,5492,24,130,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
Avfuel Corporation,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,NA,NA,NA,75236,0,75236,0,0,0,0,0,0,,,,
Simplot Feeders LTD. - Burbank,2018,Livestock,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,29517,0,0,2166,27352,0,0,0,0,,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
Packaging Corporation of America - Wallula,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,820385,630030,182193,6713,1449,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Central Washington University - Ellensburg,2018,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13485,0,13471,7,8,0,0,0,0,,1,"(47.003202, -120.544513)",POINT (-120.544513 47.003202)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,395315,0,394913,183,218,0,0,0,0,,3,"(48.828707, -122.685533)",POINT (-122.68553299999999 48.82870700000001)
Lamb Weston - Pasco,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,48326,0,48276,23,27,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Graymont Western US. Inc. - Tacoma,2016,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,42728,0,42658,26,44,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
"Coleman Oil Company, LLC",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Coleman Oil Company, LLC",NA,NA,NA,618967,24599,594368,0,0,0,0,0,0,,,,
ExxonMobil Oil Corporation,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,NA,NA,NA,963246,61463,901783,0,0,0,0,0,0,,,,
"SGL Carbon, LLC - Moses Lake",2017,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,5842,0,5836,3,3,0,0,0,0,,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
"Interfor US, Inc. - Port Angeles",2017,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,40810,40272,0,77,461,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
"Interfor US, Inc. - Port Angeles",2015,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,42807,42243,0,81,483,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
"SEH America, Inc - Vancouver",2015,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,9615,0,9605,5,5,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Northwest Hardwoods Inc. - Mount Vernon,2013,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,12937,9075,3737,19,106,0,0,0,0,,1,"(48.451642, -122.443028)",POINT (-122.44302800000001 48.451642)
WestRock LLC - Longview,2018,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1551719,1393499,151529,1301,5391,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
Darigold - Lynden,2017,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17624,0,17606,9,10,0,0,0,0,,1,"(48.947567, -122.451915)",POINT (-122.451915 48.947567)
The Boeing Company - Fabrication (Frederickson Site) - Puyallup,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,21969,0,21946,10,12,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Equilon Enterprises LLC dba Shell Oil Products US,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Shell Petroleum Inc.,NA,NA,NA,3115901,163141,2952760,0,0,0,0,0,0,,,,
Air Liquide Hydrogen Plant  - Anacortes,2013,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Anacortes,Skagit,Northwest Clean Air Agency,58995,0,58995,0,0,0,0,0,0,,2,"(48.465617, -122.556032)",POINT (-122.55603199999999 48.465617)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,24413,0,24387,12,14,0,0,0,0,,1,"(47.079716, -122.364711)",POINT (-122.364711 47.079716)
TransAlta Centralia Generation LLC - Centralia,2016,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,5094331,0,5054396,14608,25327,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
King County Solid Waste Cedar Hills Landfill - Maple Valley,2016,Waste,Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,77624,0,229,77394,1,0,0,0,0,,2,"(47.462625, -122.046025)",POINT (-122.046025 47.462625)
"SEH America, Inc - Vancouver",2013,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,13852,0,13838,7,8,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
U.S. Oil & Refining Co.,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Par Pacific Holdings Inc.,NA,NA,NA,1778184,0,1778184,0,0,0,0,0,0,,,,
Northwest Pipeline C/S - Sumas,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,96857,0,92864,3942,52,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Hampton Lumber Mills Washington Inc. - Morton,2013,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,27743,27377,0,53,313,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Hidden Valley Landfill - Puyallup,2012,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,7203,0,0,7203,0,0,0,0,0,Voluntary reporter.,1,"(47.095, -122.2878)",POINT (-122.2878 47.095)
Sinclair Oil Corporation,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,21056,0,21056,0,0,0,0,0,0,,,,
ExxonMobil Oil Corporation,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,NA,NA,NA,847822,48151,799671,0,0,0,0,0,0,,,,
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2012,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,108364,0,108252,51,61,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
Northwest Pipeline Willard C/S - Cook,2016,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,7520,0,5573,1944,3,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
"Vaagen Bros. Lumber, Inc. - Colville",2018,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,45535,44934,1,86,514,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
Marathon Anacortes Refinery - Anacortes,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1288787,0,1283000,2554,3232,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
Boulder Park Generating Station - Spokane Valley,2018,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,23325,0,23301,11,13,0,0,0,0,,1,"(47.696999, -117.147223)",POINT (-117.147223 47.696999)
TAC Energy,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Truman Arnold Companies,NA,NA,NA,18757,1077,17680,0,0,0,0,0,0,First year reporting.,,,
H.W. Hill Landfill Gas Power Plant - Roosevelt,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,86626,86183,0,133,311,0,0,0,0,,2,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
Northwest Pipeline C/S - Sumas,2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,82830,0,78810,3975,44,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Starbucks Kent Flexible Plant - Kent,2019,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,13175,0,13161,6,7,0,0,0,0,,1,"(47.436276, -122.237648)",POINT (-122.237648 47.436276)
LRI Landfill - Graham,2019,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,271964,0,0,271964,0,0,0,0,0,,3,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
Cowlitz County Headquarters Landfill - Castle Rock,2013,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,129060,556,0,128502,2,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
Sinclair Oil Corporation,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,141284,0,141284,0,0,0,0,0,0,,,,
The Boeing Company - Auburn Site - Auburn,2012,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38932,0,38892,18,22,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Sierra Pacific Industries - Burlington - Mount Vernon,2012,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,310931,302186,2134,2578,4033,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2017,Livestock,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,11439,0,0,883,10556,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
"Coleman Oil Company, LLC",2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Coleman Oil Company, LLC",NA,NA,NA,376958,18848,358110,0,0,0,0,0,0,,,,
Sierra Pacific Industries - Centralia,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42540,41979,0,81,480,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Riverside Feeders SFL - Kennewick,2017,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Riverside Feeders,Kennewick,Benton,Benton Clean Air Agency,18863,0,2216,1291,15357,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
Nippon Dynawave - Longview,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1563220,1219693,336034,1671,5823,0,0,0,0,Emissions no longer include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
"Bio Energy Washington, LLC - Maple Valley",2013,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,28341,27018,1181,43,100,0,0,0,0,,2,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
"Analog Devices, Inc. - Camas",2012,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,18086,0,1787,1,1391,644,12954,1286,24,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
